EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID;COD_LUGAR_NACE;COD_LUGAR_VIVE;COD_LUGAR_TRABAJA
100;Steven;King;SKING;5.151.234.567;23/02/2021;AD_PRES;24000;null;null;90;101;109;101
101;Neena;Kochhar;NKOCHHAR;5.151.234.568;16/07/2018;AD_VP;17000;null;100;90;102;110;102
102;Lex;De Haan;LDEHAAN;5.151.234.569;21/08/2012;AD_VP;17000;null;100;90;103;111;103
103;Alexander;Hunold;AHUNOLD;5.904.234.567;19/05/2015;IT_PROG;9000;null;102;60;104;112;104
104;Bruce;Ernst;BERNST;5.904.234.568;1/07/2017;IT_PROG;6000;null;103;60;105;113;105
105;David;Austin;DAUSTIN;5.904.234.569;13/12/2016;IT_PROG;4800;null;103;60;106;201;106
106;Valli;Pataballa;VPATABAL;5.904.234.560;25/05/2016;IT_PROG;4800;null;103;60;107;202;107
107;Diana;Lorentz;DLORENTZ;5.904.235.567;1/12/2019;IT_PROG;4200;null;103;60;108;301;108
108;Nancy;Greenberg;NGREENBE;5.151.244.569;20/10/2020;FI_MGR;12000;null;101;100;109;302;109
109;Daniel;Faviet;DFAVIET;5.151.244.169;14/04/2016;FI_ACCOUNT;9000;null;108;100;110;303;110
110;John;Chen;JCHEN;5.151.244.269;25/10/2014;FI_ACCOUNT;8200;null;108;100;111;304;111
111;Ismael;Sciarra;ISCIARRA;5.151.244.369;7/04/2012;FI_ACCOUNT;7700;null;108;100;112;402;112
112;Jose Manuel;Urman;JMURMAN;5.151.244.469;27/04/2019;FI_ACCOUNT;7800;null;108;100;113;404;113
113;Luis;Popp;LPOPP;5.151.244.567;20/01/2021;FI_ACCOUNT;6900;null;108;100;201;403;201
114;Den;Raphaely;DRAPHEAL;5.151.274.561;27/12/2020;PU_MAN;11000;null;100;30;202;501;202
115;Alexander;Khoo;AKHOO;5.151.274.562;5/12/2021;PU_CLERK;3100;null;114;30;301;301;301
116;Shelli;Baida;SBAIDA;5.151.274.563;12/01/2017;PU_CLERK;2900;null;114;30;302;503;302
117;Sigal;Tobias;STOBIAS;5.151.274.564;14/11/2015;PU_CLERK;2800;null;114;30;303;104;303
118;Guy;Himuro;GHIMURO;5.151.274.565;10/02/2020;PU_CLERK;2600;null;114;30;304;105;304
119;Karen;Colmenares;KCOLMENA;5.151.274.566;6/06/2014;PU_CLERK;2500;null;114;30;401;106;401
120;Matthew;Weiss;MWEISS;6.501.231.234;10/01/2017;ST_MAN;8000;null;100;50;402;107;402
121;Adam;Fripp;AFRIPP;6.501.232.234;21/09/2015;ST_MAN;8200;null;100;50;404;108;404
122;Payam;Kaufling;PKAUFLIN;6.501.233.234;1/04/2015;ST_MAN;7900;null;100;50;403;109;403
123;Shanta;Vollman;SVOLLMAN;6.501.234.234;19/03/2021;ST_MAN;6500;null;100;50;501;110;501
124;Kevin;Mourgos;KMOURGOS;6.501.235.234;14/11/2018;ST_MAN;5800;null;100;50;502;111;502
125;Julia;Nayer;JNAYER;6.501.241.214;27/03/2017;ST_CLERK;3200;null;120;50;503;112;503
126;Irene;Mikkilineni;IMIKKILI;6.501.241.224;1/01/2019;ST_CLERK;2700;null;120;50;601;113;601
127;James;Landry;JLANDRY;6.501.241.334;9/01/2018;ST_CLERK;2400;null;120;50;602;201;712
128;Steven;Markle;SMARKLE;6.501.241.434;2/05/2013;ST_CLERK;2200;null;120;50;603;202;713
129;Laura;Bissot;LBISSOT;6.501.245.234;10/04/2021;ST_CLERK;3300;null;121;50;604;301;714
130;Mozhe;Atkinson;MATKINSO;6.501.246.234;29/10/2015;ST_CLERK;2800;null;121;50;701;302;715
131;James;Marlow;JAMRLOW;6.501.247.234;6/09/2018;ST_CLERK;2500;null;121;50;702;303;716
132;TJ;Olson;TJOLSON;6.501.248.234;31/10/2019;ST_CLERK;2100;null;121;50;703;304;717
133;Jason;Mallin;JMALLIN;6.501.271.934;27/04/2019;ST_CLERK;3300;null;122;50;704;401;718
134;Michael;Rogers;MROGERS;6.501.271.834;5/08/2015;ST_CLERK;2900;null;122;50;705;402;801
135;Ki;Gee;KGEE;6.501.271.734;15/10/2017;ST_CLERK;2400;null;122;50;706;404;802
136;Hazel;Philtanker;HPHILTAN;6.501.271.634;23/04/2019;ST_CLERK;2200;null;122;50;707;403;803
137;Renske;Ladwig;RLADWIG;6.501.211.234;28/02/2012;ST_CLERK;3600;null;123;50;708;501;901
138;Stephen;Stiles;SSTILES;6.501.212.034;18/02/2019;ST_CLERK;3200;null;123;50;709;502;902
139;John;Seo;JSEO;6.501.212.019;11/02/2017;ST_CLERK;2700;null;123;50;710;503;903
140;Joshua;Patel;JPATEL;6.501.211.834;31/03/2015;ST_CLERK;2500;null;123;50;711;601;904
141;Trenna;Rajs;TRAJS;6.501.218.009;8/02/2018;ST_CLERK;3500;null;124;50;712;101;905
142;Curtis;Davies;CDAVIES;6.501.212.994;20/12/2015;ST_CLERK;3100;null;124;50;713;102;906
143;Randall;Matos;RMATOS;6.501.212.874;4/02/2013;ST_CLERK;2600;null;124;50;714;103;907
144;Peter;Vargas;PVARGAS;6.501.212.004;14/05/2015;ST_CLERK;2500;null;124;50;715;104;908
145;John;Russell;JRUSSEL;011.44.1344.429268;24/05/2021;SA_MAN;14000;0.4;100;80;716;105;909
146;Karen;Partners;KPARTNER;011.44.1344.467268;25/05/2012;SA_MAN;13500;0.3;100;80;717;106;910
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;31/05/2015;SA_MAN;12000;0.3;100;80;718;107;911
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;16/04/2014;SA_MAN;11000;0.3;100;80;801;108;912
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;22/08/2014;SA_MAN;10500;0.2;100;80;802;109;1001
150;Peter;Tucker;PTUCKER;011.44.1344.129268;5/08/2015;SA_REP;10000;0.3;145;80;803;110;1101
151;David;Bernstein;DBERNSTE;011.44.1344.345268;23/11/2018;SA_REP;9500;0.25;145;80;901;111;1102
152;Peter;Hall;PHALL;011.44.1344.478968;15/12/2019;SA_REP;9000;0.25;145;80;902;112;1103
153;Christopher;Olsen;COLSEN;011.44.1344.498718;1/01/2017;SA_REP;8000;0.2;145;80;903;113;1104
154;Nanette;Cambrault;NCAMBRAU;011.44.1344.987668;13/02/2016;SA_REP;7500;0.2;145;80;904;201;1105
155;Oliver;Tuvault;OTUVAULT;011.44.1344.486508;4/12/2017;SA_REP;7000;0.15;145;80;1201;1201;1201
156;Janette;King;JKING;011.44.1345.429268;23/03/2020;SA_REP;10000;0.35;146;80;906;301;1202
157;Patrick;Sully;PSULLY;011.44.1345.929268;24/12/2018;SA_REP;9500;0.35;146;80;907;302;1301
158;Allan;McEwen;AMCEWEN;011.44.1345.829268;30/04/2014;SA_REP;9000;0,35;146;80;908;303;1302
159;Lindsey;Smith;LSMITH;011.44.1345.729268;8/09/2021;SA_REP;8000;0.3;146;80;909;304;1401
160;Louise;Doran;LDORAN;011.44.1345.629268;15/09/2015;SA_REP;7500;0.3;146;80;910;401;1402
161;Sarath;Sewall;SSEWALL;011.44.1345.529268;23/04/2019;SA_REP;7000;0.25;146;80;911;402;1403
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;19/04/2020;SA_REP;10500;0.25;147;80;912;404;1404
163;Danielle;Greene;DGREENE;011.44.1346.229268;12/08/2017;SA_REP;9500;0.15;147;80;1001;403;1501
164;Mattea;Marvins;MMARVINS;011.44.1346.329268;15/08/2020;SA_REP;7200;0.1;147;80;1101;501;1601
165;David;Lee;DLEE;011.44.1346.529268;5/11/2021;SA_REP;6800;0.1;147;80;1102;502;1602
166;Sundar;Ande;SANDE;011.44.1346.629268;5/12/2014;SA_REP;6400;0.1;147;80;1103;503;1603
167;Amit;Banda;ABANDA;011.44.1346.729268;11/09/2019;SA_REP;6200;0.1;147;80;1104;601;1604
168;Lisa;Ozer;LOZER;011.44.1343.929268;1/12/2018;SA_REP;11500;0.25;148;80;1105;712;1701
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;10/11/2015;SA_REP;10000;0.2;148;80;1201;713;1801
170;Tayler;Fox;TFOX;011.44.1343.729268;10/04/2015;SA_REP;9600;0.2;148;80;1202;714;1802
171;William;Smith;WSMITH;011.44.1343.629268;22/04/2013;SA_REP;7400;0.15;148;80;1301;715;1901
172;Elizabeth;Bates;EBATES;011.44.1343.529268;20/11/2014;SA_REP;7300;0.15;148;80;1302;716;1902
173;Sundita;Kumar;SKUMAR;011.44.1343.329268;13/07/2019;SA_REP;6100;0.1;148;80;1401;1401;1903
175;Alyssa;Hutton;AHUTTON;011.44.1644.429266;25/02/2018;SA_REP;8800;0.25;149;80;1402;1402;2001
176;Jonathon;Taylor;JTAYLOR;011.44.1644.429265;31/03/2015;SA_REP;8600;0.2;149;80;1403;1403;2101
177;Jack;Livingston;JLIVINGS;011.44.1644.429264;20/06/2018;SA_REP;8400;0.2;149;80;1404;1404;2201
178;Kimberely;Grant;KGRANT;011.44.1644.429263;8/05/2018;SA_REP;7000;0.15;149;null;1501;1501;2301
179;Charles;Johnson;CJOHNSON;011.44.1644.429262;1/01/2013;SA_REP;6200;0,1;149;80;1601;1601;2401
180;Winston;Taylor;WTAYLOR;6.505.079.876;11/01/2021;SH_CLERK;3200;null;120;50;1602;1602;2402
181;Jean;Fleaur;JFLEAUR;6.505.079.877;1/08/2016;SH_CLERK;3100;null;120;50;1603;1603;2501
182;Martha;Sullivan;MSULLIVA;6.505.079.878;21/06/2015;SH_CLERK;2500;null;120;50;1604;101;2502
183;Girard;Geoni;GGEONI;6.505.079.879;19/09/2019;SH_CLERK;2800;null;120;50;1701;102;2503
184;Nandita;Sarchand;NSARCHAN;6.505.091.876;13/02/2015;SH_CLERK;4200;null;121;50;1801;103;2504
185;Alexis;Bull;ABULL;6.505.092.876;8/09/2016;SH_CLERK;4100;null;121;50;1802;104;1903
186;Julia;Dellinger;JDELLING;6.505.093.876;6/01/2014;SH_CLERK;3400;null;121;50;1901;105;2001
187;Anthony;Cabrio;ACABRIO;6.505.094.876;4/02/2014;SH_CLERK;3000;null;121;50;1902;106;2101
188;Kelly;Chung;KCHUNG;6.505.051.876;23/12/2015;SH_CLERK;3800;null;122;50;1903;107;2201
189;Jennifer;Dilly;JDILLY;6.505.052.876;15/06/2013;SH_CLERK;3600;null;122;50;2001;108;2301
190;Timothy;Gates;TGATES;6.505.053.876;16/07/2021;SH_CLERK;2900;null;122;50;2101;109;2401
191;Randall;Perkins;RPERKINS;6.505.054.876;26/04/2017;SH_CLERK;2500;null;122;50;2201;110;1701
192;Sarah;Bell;SBELL;6.505.011.876;21/01/2015;SH_CLERK;4000;null;123;50;2301;111;1801
193;Britney;Everett;BEVERETT;6.505.012.876;12/06/2013;SH_CLERK;3900;null;123;50;2401;112;401
194;Samuel;McCain;SMCCAIN;6.505.013.876;26/03/2013;SH_CLERK;3200;null;123;50;2402;113;402
195;Vance;Jones;VJONES;6.505.014.876;16/02/2016;SH_CLERK;2800;null;123;50;2501;201;404
196;Alana;Walsh;AWALSH;6.505.079.811;18/09/2017;SH_CLERK;3100;null;124;50;2502;202;403
197;Kevin;Feeney;KFEENEY;6.505.079.822;24/12/2020;SH_CLERK;3000;null;124;50;2503;301;501
198;Donald;OConnell;DOCONNEL;6.505.079.833;13/12/2016;SH_CLERK;2600;null;124;50;2504;302;502
199;Douglas;Grant;DGRANT;6.505.079.844;27/03/2015;SH_CLERK;2600;null;124;50;1903;303;503
