EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID
100;Steven;King;SKING;5.151.234.567;23/02/2021;AD_PRES;24000;;;90
101;Neena;Kochhar;NKOCHHAR;5.151.234.568;16/07/2018;AD_VP;17000;;100;90
102;Lex;De Haan;LDEHAAN;5.151.234.569;21/08/2012;AD_VP;17000;;100;90
103;Alexander;Hunold;AHUNOLD;5.904.234.567;19/05/2015;IT_PROG;9000;;102;60
104;Bruce;Ernst;BERNST;5.904.234.568;1/07/2017;IT_PROG;6000;;103;60
105;David;Austin;DAUSTIN;5.904.234.569;13/12/2016;IT_PROG;4800;;103;60
106;Valli;Pataballa;VPATABAL;5.904.234.560;25/05/2016;IT_PROG;4800;;103;60
107;Diana;Lorentz;DLORENTZ;5.904.235.567;1/12/2019;IT_PROG;4200;;103;60
108;Nancy;Greenberg;NGREENBE;5.151.244.569;20/10/2020;FI_MGR;12000;;101;100
109;Daniel;Faviet;DFAVIET;5.151.244.169;14/04/2016;FI_ACCOUNT;9000;;108;100
110;John;Chen;JCHEN;5.151.244.269;25/10/2014;FI_ACCOUNT;8200;;108;100
111;Ismael;Sciarra;ISCIARRA;5.151.244.369;7/04/2012;FI_ACCOUNT;7700;;108;100
112;Jose Manuel;Urman;JMURMAN;5.151.244.469;27/04/2019;FI_ACCOUNT;7800;;108;100
113;Luis;Popp;LPOPP;5.151.244.567;20/01/2021;FI_ACCOUNT;6900;;108;100
114;Den;Raphaely;DRAPHEAL;5.151.274.561;27/12/2020;PU_MAN;11000;;100;30
115;Alexander;Khoo;AKHOO;5.151.274.562;5/12/2021;PU_CLERK;3100;;114;30
116;Shelli;Baida;SBAIDA;5.151.274.563;12/01/2017;PU_CLERK;2900;;114;30
117;Sigal;Tobias;STOBIAS;5.151.274.564;14/11/2015;PU_CLERK;2800;;114;30
118;Guy;Himuro;GHIMURO;5.151.274.565;10/02/2020;PU_CLERK;2600;;114;30
119;Karen;Colmenares;KCOLMENA;5.151.274.566;6/06/2014;PU_CLERK;2500;;114;30
120;Matthew;Weiss;MWEISS;6.501.231.234;10/01/2017;ST_MAN;8000;;100;50
121;Adam;Fripp;AFRIPP;6.501.232.234;21/09/2015;ST_MAN;8200;;100;50
122;Payam;Kaufling;PKAUFLIN;6.501.233.234;1/04/2015;ST_MAN;7900;;100;50
123;Shanta;Vollman;SVOLLMAN;6.501.234.234;19/03/2021;ST_MAN;6500;;100;50
124;Kevin;Mourgos;KMOURGOS;6.501.235.234;14/11/2018;ST_MAN;5800;;100;50
125;Julia;Nayer;JNAYER;6.501.241.214;27/03/2017;ST_CLERK;3200;;120;50
126;Irene;Mikkilineni;IMIKKILI;6.501.241.224;1/01/2019;ST_CLERK;2700;;120;50
127;James;Landry;JLANDRY;6.501.241.334;9/01/2018;ST_CLERK;2400;;120;50
128;Steven;Markle;SMARKLE;6.501.241.434;2/05/2013;ST_CLERK;2200;;120;50
129;Laura;Bissot;LBISSOT;6.501.245.234;10/04/2021;ST_CLERK;3300;;121;50
130;Mozhe;Atkinson;MATKINSO;6.501.246.234;29/10/2015;ST_CLERK;2800;;121;50
131;James;Marlow;JAMRLOW;6.501.247.234;6/09/2018;ST_CLERK;2500;;121;50
132;TJ;Olson;TJOLSON;6.501.248.234;31/10/2019;ST_CLERK;2100;;121;50
133;Jason;Mallin;JMALLIN;6.501.271.934;27/04/2019;ST_CLERK;3300;;122;50
134;Michael;Rogers;MROGERS;6.501.271.834;5/08/2015;ST_CLERK;2900;;122;50
135;Ki;Gee;KGEE;6.501.271.734;15/10/2017;ST_CLERK;2400;;122;50
136;Hazel;Philtanker;HPHILTAN;6.501.271.634;23/04/2019;ST_CLERK;2200;;122;50
137;Renske;Ladwig;RLADWIG;6.501.211.234;28/02/2012;ST_CLERK;3600;;123;50
138;Stephen;Stiles;SSTILES;6.501.212.034;18/02/2019;ST_CLERK;3200;;123;50
139;John;Seo;JSEO;6.501.212.019;11/02/2017;ST_CLERK;2700;;123;50
